dataset,model,main_seconds,auxiliary_seconds,warnings
dsads,IT,24.65525949999983,49.205345899999884,0
dsads,LR,0.20863955000095302,0.39319384999998874,0
dsads,MR,3.5259266000002754,4.613521949999267,0
har,IT,18.19167669999979,34.54572619999999,0
har,LR,0.06419645000005403,0.10654485000031855,0
har,MR,1.6939904499995464,2.2769854499993016,0
mhealth,IT,4.132078000000092,8.844028550000075,0
mhealth,LR,0.04239764999874751,0.05847805000121298,0
mhealth,MR,0.5353283499998724,0.8527812000002086,0
pamap2,IT,11.96822225000028,24.449762949999922,0
pamap2,LR,0.15788854999982505,0.594162200000028,0
pamap2,MR,3.090060949999497,4.908022499999788,0
realdisp,IT,7.429725200000121,15.532539900000302,0
realdisp,LR,0.25991350000003877,0.8469518000001699,0
realdisp,MR,1.9820890999999392,4.093215299999429,0
wisdm,IT,95.4412669999997,195.8696084500001,0
wisdm,LR,0.8719556500000181,1.587538749999112,0
wisdm,MR,30.327998799999477,36.30916164999962,0
