dataset,score,policy,spent,reference_spent,saving,coverage,shortfall,size_fraction,set_size,empty_rate,singleton_rate,delta_coverage,delta_shortfall,delta_size_fraction,support,spent_sd,campaign_violation,min_component_coverage,max_component_coverage
dsads,APS,deterministic,209.30555555555554,263.8541666666667,0.1962989562830251,0.8681731523361355,0.05759650455348437,0.39954134425175697,7.591285540783382,0.06050963998538008,0.07191368177387909,0.0003461181164717509,-8.886147660819342e-05,0.0012061007753988344,1.0,0.0,0.35670572916666665,0.8681731523361355,0.8681731523361355
dsads,APS,drop_coverage,122.6611847102317,263.8541666666667,0.5118541322434161,0.8592960196264157,0.06868265347506687,0.4025715150521653,7.648858785991141,0.06738766018930484,0.07385937735926436,-0.008531014593247987,0.010997287444974274,0.004236271575807199,2.8203125,35.550961631770114,0.7126089288898978,0.8218161302235624,0.8780639505665205
dsads,APS,drop_shortfall,130.47318619336897,263.8541666666667,0.48388391741672604,0.8597866919238334,0.06782746435030348,0.40101945379683607,7.619369622139884,0.06695196964903018,0.07395922814814988,-0.008040342295830291,0.010142098320210895,0.0026842103204779166,2.8680555555555554,39.4047607724657,0.670538448185703,0.8191565774244639,0.8786196584125244
dsads,APS,drop_size,85.92632018250362,263.8541666666667,0.6412963721233731,0.8692964992206482,0.06281148248384003,0.42534577689003666,8.081569760910698,0.06134978050560357,0.06947513865912536,0.0014694650009844871,0.005126116453747453,0.027010533413678553,1.8715277777777777,14.195981636573377,0.8265210034813513,0.8412168387548733,0.8821211870278995
dsads,APS,fixed_25,74.5,263.8541666666667,0.6906677672687204,0.8228759289717349,0.10173743413438106,0.3708624924455923,7.046387356466252,0.09132799174585766,0.08801171494273874,-0.044951105247928835,0.04405206810428847,-0.027472751030765866,1.0,0.0,0.8253255208333333,0.8228759289717349,0.8228759289717349
dsads,APS,fixed_50,134.79166666666666,263.8541666666667,0.4747790692014524,0.85337585092288,0.07282247502436644,0.3928911299630655,7.464931469298246,0.07081226014254381,0.07673456917032159,-0.014451183296783616,0.015137108994273852,-0.005444113513292558,1.0,0.0,0.6862196180555555,0.85337585092288,0.85337585092288
dsads,APS,fixed_75,198.75,263.8541666666667,0.24079233848526868,0.8632603481359649,0.062769906265229,0.3975532710986393,7.553512150874147,0.06398663080226603,0.07340473851730016,-0.0045666860836988295,0.005084540235136429,-0.0007819723777187953,1.0,0.0,0.4832248263888889,0.8632603481359649,0.8632603481359649
dsads,APS,full_b1,245.0,263.8541666666667,0.051911318955306616,0.8161047149122806,0.10352744654605261,0.3501898345524584,6.653606856496711,0.09362855788559937,0.0933831894188596,-0.051722319307383,0.04584208051596,-0.048145408923899624,1.0,0.0,0.9060546875000001,0.8161047149122806,0.8161047149122806
dsads,APS,full_b2,254.36170212765958,266.9148936170213,0.034897470619135354,0.8476869867487867,0.07547694452220975,0.37855128552238654,7.192474424925346,0.07311046760296126,0.08063725776098042,-0.023848266221848925,0.021224220791340013,-0.022719997622017877,1.0,0.0,0.8967420212765957,0.847686986748787,0.847686986748787
dsads,APS,full_b4,270.10869565217394,270.10869565217394,0.0,0.8730829479722857,0.052789100241545865,0.402447016515115,7.646493313787185,0.057238560338799864,0.07003632127192978,0.0,0.0,0.0,1.0,0.0,0.0,0.8730829479722858,0.8730829479722858
