dataset,score,policy,sum,count,mean
mhealth,APS,full_b2,35,141,0.24822695035460993
mhealth,APS,full_b4,0,138,0.0
mhealth,APS,full_b8,37,132,0.2803030303030303
mhealth,APS,full_reference,0,144,0.0
mhealth,APS,kappa0,136,144,0.9444444444444444
mhealth,APS,kappa05,105,144,0.7291666666666666
mhealth,APS,kappa2,43,144,0.2986111111111111
mhealth,APS,matched_b1,136,144,0.9444444444444444
mhealth,APS,matched_b2,121,144,0.8402777777777778
mhealth,APS,matched_b4,107,144,0.7430555555555556
mhealth,APS,matched_b8,116,144,0.8055555555555556
mhealth,APS,random_planning,117,144,0.8125
mhealth,APS,restricted_b1,86,144,0.5972222222222222
mhealth,APS,restricted_b4,63,144,0.4375
mhealth,APS,restricted_b8,50,144,0.3472222222222222
mhealth,APS,sparse,87,144,0.6041666666666666
mhealth,APS,two_plan,41,144,0.2847222222222222
mhealth,APS,variance_save,72,144,0.5
mhealth,LAC,deterministic,55,144,0.3819444444444444
mhealth,LAC,drop_coverage,126,144,0.875
mhealth,LAC,drop_shortfall,125,144,0.8680555555555556
mhealth,LAC,drop_size,133,144,0.9236111111111112
mhealth,LAC,fixed_25,136,144,0.9444444444444444
mhealth,LAC,fixed_50,102,144,0.7083333333333334
mhealth,LAC,fixed_75,52,144,0.3611111111111111
mhealth,LAC,full_b1,100,144,0.6944444444444444
mhealth,LAC,full_b2,34,141,0.24113475177304963
mhealth,LAC,full_b4,0,138,0.0
mhealth,LAC,full_b8,22,132,0.16666666666666666
mhealth,LAC,full_reference,0,144,0.0
mhealth,LAC,kappa0,137,144,0.9513888888888888
mhealth,LAC,kappa05,133,144,0.9236111111111112
mhealth,LAC,kappa2,70,144,0.4861111111111111
mhealth,LAC,matched_b1,141,144,0.9791666666666666
mhealth,LAC,matched_b2,113,144,0.7847222222222222
mhealth,LAC,matched_b4,99,144,0.6875
mhealth,LAC,matched_b8,107,144,0.7430555555555556
mhealth,LAC,random_planning,91,144,0.6319444444444444
mhealth,LAC,restricted_b1,131,144,0.9097222222222222
mhealth,LAC,restricted_b4,82,144,0.5694444444444444
mhealth,LAC,restricted_b8,56,144,0.3888888888888889
mhealth,LAC,sparse,112,144,0.7777777777777778
mhealth,LAC,two_plan,86,144,0.5972222222222222
mhealth,LAC,variance_save,86,144,0.5972222222222222
pamap2,APS,deterministic,6,144,0.041666666666666664
pamap2,APS,drop_coverage,95,144,0.6597222222222222
pamap2,APS,drop_shortfall,85,144,0.5902777777777778
pamap2,APS,drop_size,138,144,0.9583333333333334
pamap2,APS,fixed_25,144,144,1.0
pamap2,APS,fixed_50,117,144,0.8125
pamap2,APS,fixed_75,48,144,0.3333333333333333
pamap2,APS,full_b1,141,144,0.9791666666666666
pamap2,APS,full_b2,133,141,0.9432624113475178
pamap2,APS,full_b4,0,138,0.0
pamap2,APS,full_b8,132,132,1.0
pamap2,APS,full_reference,0,144,0.0
pamap2,APS,kappa0,140,144,0.9722222222222222
pamap2,APS,kappa05,129,144,0.8958333333333334
pamap2,APS,kappa2,27,144,0.1875
pamap2,APS,matched_b1,144,144,1.0
pamap2,APS,matched_b2,142,144,0.9861111111111112
pamap2,APS,matched_b4,131,144,0.9097222222222222
pamap2,APS,matched_b8,139,144,0.9652777777777778
pamap2,APS,random_planning,99,144,0.6875
pamap2,APS,restricted_b1,11,144,0.0763888888888889
pamap2,APS,restricted_b4,88,144,0.6111111111111112
pamap2,APS,restricted_b8,120,144,0.8333333333333334
pamap2,APS,sparse,78,144,0.5416666666666666
pamap2,APS,two_plan,63,144,0.4375
pamap2,APS,variance_save,125,144,0.8680555555555556
pamap2,LAC,deterministic,4,144,0.027777777777777776
pamap2,LAC,drop_coverage,129,144,0.8958333333333334
pamap2,LAC,drop_shortfall,105,144,0.7291666666666666
pamap2,LAC,drop_size,137,144,0.9513888888888888
pamap2,LAC,fixed_25,144,144,1.0
pamap2,LAC,fixed_50,141,144,0.9791666666666666
pamap2,LAC,fixed_75,67,144,0.4652777777777778
pamap2,LAC,full_b1,42,144,0.2916666666666667
pamap2,LAC,full_b2,27,141,0.19148936170212766
pamap2,LAC,full_b4,0,138,0.0
pamap2,LAC,full_b8,32,132,0.24242424242424243
pamap2,LAC,full_reference,0,144,0.0
pamap2,LAC,kappa0,141,144,0.9791666666666666
pamap2,LAC,kappa05,135,144,0.9375
pamap2,LAC,kappa2,32,144,0.2222222222222222
pamap2,LAC,matched_b1,127,144,0.8819444444444444
pamap2,LAC,matched_b2,93,144,0.6458333333333334
pamap2,LAC,matched_b4,140,144,0.9722222222222222
pamap2,LAC,matched_b8,139,144,0.9652777777777778
pamap2,LAC,random_planning,113,144,0.7847222222222222
pamap2,LAC,restricted_b1,38,144,0.2638888888888889
pamap2,LAC,restricted_b4,41,144,0.2847222222222222
pamap2,LAC,restricted_b8,90,144,0.625
pamap2,LAC,sparse,110,144,0.7638888888888888
pamap2,LAC,two_plan,57,144,0.3958333333333333
pamap2,LAC,variance_save,122,144,0.8472222222222222
realdisp,APS,deterministic,15,144,0.10416666666666667
realdisp,APS,drop_coverage,105,144,0.7291666666666666
realdisp,APS,drop_shortfall,102,144,0.7083333333333334
realdisp,APS,drop_size,136,144,0.9444444444444444
realdisp,APS,fixed_25,128,144,0.8888888888888888
realdisp,APS,fixed_50,81,144,0.5625
realdisp,APS,fixed_75,47,144,0.3263888888888889
realdisp,APS,full_b1,67,144,0.4652777777777778
realdisp,APS,full_b2,68,141,0.48226950354609927
realdisp,APS,full_b4,0,138,0.0
realdisp,APS,full_b8,44,132,0.3333333333333333
realdisp,APS,full_reference,0,144,0.0
realdisp,APS,kappa0,139,144,0.9652777777777778
realdisp,APS,kappa05,126,144,0.875
realdisp,APS,kappa2,15,144,0.10416666666666667
realdisp,APS,matched_b1,126,144,0.875
realdisp,APS,matched_b2,136,144,0.9444444444444444
realdisp,APS,matched_b4,127,144,0.8819444444444444
realdisp,APS,matched_b8,140,144,0.9722222222222222
