dataset,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
dsads,LAC,martingale,1.0,0.8963443439327485,5.242395719115497,0.03351962262426899,0.009416004203216333,0.2273150813230994,-0.00673725328947366,253.81770833333334,0.05041232638888885
dsads,LAC,midpoint,0.5,0.886283237390351,5.014416917945907,0.04093761421783624,-0.0006451023391812868,-0.0006637198464912324,0.0006807383040935657,257.1666666666667,0.041919849537037
dsads,LAC,no_intersection,0.5,0.8904512746710527,5.082977316337719,0.03749189053362571,0.0035229349415204364,0.0678966785453216,-0.0027649853801169372,260.4947916666667,0.03028067129629627
dsads,LAC,one_look_50,0.5,0.9289144736842107,7.42016847130848,0.016770033808479516,0.04198613395467831,2.405087833516082,-0.02348684210526313,135.0,0.5000000000000002
dsads,LAC,sparse_checks,0.5,0.8883823327850878,5.039453353435673,0.03903063322368419,0.0014539930555555415,0.02437271564327484,-0.001226242690058467,263.1927083333333,0.021506076388888868
dsads,LAC,uncorrected,0.5,0.8904180372807017,5.102885028326024,0.03769542671783623,0.0034896975511695635,0.0878043905336257,-0.002561449195906416,241.15104166666666,0.09035011574074069
har,APS,fixed_25,0.5,0.9010784441652522,2.422638909938966,0.03476060917106748,0.00047042022523255986,0.021336707329506172,0.0017440943232637771,112.5,0.7500000000000004
har,APS,fixed_50,0.5,0.9009223739621749,2.408327267510357,0.03352446441644781,0.0003143500221553705,0.007025064900896581,0.0005079495686441108,225.0,0.5000000000000002
har,APS,fixed_75,0.5,0.9006813171160073,2.403339487158732,0.03316547044758354,7.329317598773187e-05,0.002037284549272056,0.0001489555997798479,337.5,0.2500000000000001
har,APS,full_reference,0.5,0.9006080239400196,2.40130220260946,0.0330165148478037,0.0,0.0,0.0,450.0,0.0
har,APS,horizon,0.1,0.9052734599284556,2.426057594940016,0.030583329566972618,0.004665435988436047,0.02475539233055584,-0.0024331852808310585,403.925,0.06926649305555552
har,APS,horizon,0.25,0.9173962245078339,2.498720845041245,0.024552153500014814,0.016788200567814215,0.0974186424317848,-0.008464361347788857,295.0125,0.2645659722222222
har,APS,horizon,0.5,0.934939281085632,2.626312123938559,0.016791484164624507,0.03433125714561242,0.22500992132909883,-0.016225030683179167,178.775,0.5045138888888889
har,APS,horizon,1.0,0.9562877506073661,2.8423652178895535,0.009378342542141337,0.05567972666734644,0.44106301528009345,-0.023638172305662338,92.875,0.7074175347222222
har,APS,hypergeom,0.1,0.9052224931822181,2.4255517532576403,0.030578205624704688,0.00461446924219852,0.024249550648179966,-0.0024383092230989833,418.125,0.046710069444444405
har,APS,hypergeom,0.25,0.9178191780789713,2.500975399399844,0.024312596320572987,0.017211154138951634,0.0996731967903835,-0.00870391852723068,326.8833333333333,0.20556857638888887
har,APS,hypergeom,0.5,0.9362742328769019,2.634239108158762,0.01608811778718894,0.03566620893688229,0.2329369055493019,-0.016928397060614733,211.68333333333334,0.42870225694444447
har,APS,hypergeom,1.0,0.9589352975578492,2.8668914336535996,0.008351231928307673,0.05832727361782964,0.4655892310441394,-0.024665282919496004,115.575,0.6405034722222224
har,APS,martingale,0.1,0.9046048314789477,2.4220319879892482,0.030908246293549716,0.003996807538928103,0.020729785379788118,-0.0021082685542539617,428.9916666666667,0.027708333333333304
har,APS,martingale,0.25,0.9167350515440177,2.494846738697802,0.02494490795463622,0.016127027603998083,0.09354453608834185,-0.008071606893167455,355.37083333333334,0.1430772569444444
har,APS,martingale,0.5,0.9364640075785188,2.6359653975622286,0.016144555790039757,0.03585598363849921,0.23466319495276866,-0.016871959057763918,242.42916666666667,0.34930989583333333
har,APS,martingale,1.0,0.961808523052185,2.897330409515288,0.007405364809318123,0.06120049911216532,0.4960282069058279,-0.025611150038485558,132.09583333333333,0.5854383680555556
har,APS,midpoint,0.5,0.8919966875668408,2.3610433175598384,0.038326540576785646,-0.008611336373178714,-0.040258885049621496,0.005310025728981924,178.775,0.5045138888888889
har,APS,no_intersection,0.5,0.9349665154756468,2.627069741569747,0.016738767743297526,0.03435849153562728,0.2257675389602867,-0.01627774710450615,188.55833333333334,0.48392361111111115
har,APS,one_look_50,0.5,0.933905192676814,2.6516819667381486,0.017749103662710698,0.03329716873679437,0.2503797641286886,-0.015267411185092977,225.0,0.5000000000000002
har,APS,sparse_checks,0.5,0.929759188658841,2.5848142461955397,0.019224549191821615,0.029151164718821402,0.18351204358607984,-0.013791965655982057,189.75416666666666,0.4734635416666668
