dataset,score,policy,tolerance,bracket_failure,containment_failure,inflation_exceeded,actual_inflation,saving
dsads,APS,fixed_25,0.5,0.9520833333333334,0.3963541666666666,0.3536458333333334,0.28732113486842104,0.75
dsads,APS,fixed_50,0.5,0.921875,0.3971354166666667,0.22630208333333335,0.10375833790204679,0.5
dsads,APS,fixed_75,0.5,0.853125,0.36692708333333335,0.10260416666666666,0.03817102978801169,0.25
dsads,APS,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
dsads,APS,horizon,0.1,0.017447916666666667,0.010677083333333335,0.005729166666666667,-0.0008183707967836259,0.0031467013888888877
dsads,APS,horizon,0.25,0.02421875,0.013541666666666667,0.00859375,0.012432839912280698,0.012174479166666662
dsads,APS,horizon,0.5,0.034375,0.017447916666666667,0.011197916666666667,0.08373503746345029,0.04607204861111109
dsads,APS,horizon,1.0,0.0375,0.01640625,0.010937500000000001,0.33026955409356723,0.1421440972222222
dsads,APS,hypergeom,0.1,0.001822916666666667,0.0,0.001822916666666667,0.0009698236476608185,0.0006293402777777774
dsads,APS,hypergeom,0.25,0.004947916666666667,0.001822916666666667,0.00234375,0.00913582785087719,0.00501302083333333
dsads,APS,hypergeom,0.5,0.008072916666666667,0.0026041666666666665,0.0031250000000000006,0.07100500274122806,0.028190104166666657
dsads,APS,hypergeom,1.0,0.010677083333333335,0.00390625,0.0033854166666666668,0.3234545184576023,0.10478877314814812
dsads,APS,martingale,0.1,0.0,0.0,0.0,2.901133040935672e-05,2.8935185185185156e-05
dsads,APS,martingale,0.25,0.0007812500000000002,0.0,0.0007812500000000002,0.004640784904970759,0.0017144097222222207
dsads,APS,martingale,0.5,0.0013020833333333333,0.0,0.0013020833333333333,0.04782803362573099,0.012167245370370365
dsads,APS,martingale,1.0,0.0020833333333333333,0.0005208333333333333,0.0015625000000000003,0.27449412920321636,0.05644531249999998
dsads,APS,midpoint,0.5,0.1640625,0.14713541666666666,0.0054687500000000005,0.006212993421052629,0.04607204861111109
dsads,APS,no_intersection,0.5,0.0026041666666666665,0.0026041666666666665,0.0,0.07441737481725146,0.031278935185185174
dsads,APS,one_look_50,0.5,0.018229166666666668,0.007291666666666668,0.8828125,1.8933149442616959,0.5
dsads,APS,sparse_checks,0.5,0.01979166666666667,0.008072916666666667,0.009114583333333334,0.030713176169590642,0.02119502314814815
dsads,APS,uncorrected,0.5,0.12578124999999998,0.059895833333333336,0.0375,0.10699367233187133,0.09903790509259258
dsads,LAC,fixed_25,0.5,0.9502604166666666,0.40260416666666665,0.3716145833333333,0.3615397706505848,0.75
dsads,LAC,fixed_50,0.5,0.90390625,0.40468750000000003,0.24036458333333333,0.12086896929824563,0.5
dsads,LAC,fixed_75,0.5,0.8385416666666666,0.3658854166666667,0.134375,0.04411686769005848,0.25
dsads,LAC,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
dsads,LAC,horizon,0.1,0.013281250000000001,0.009114583333333334,0.004166666666666667,-0.0008825612207602342,0.0025752314814814804
dsads,LAC,horizon,0.25,0.022656250000000003,0.012499999999999999,0.009114583333333334,0.009595326206140347,0.010604745370370365
dsads,LAC,horizon,0.5,0.029687500000000002,0.015625,0.010416666666666666,0.07298942342836257,0.04191984953703703
dsads,LAC,horizon,1.0,0.035937500000000004,0.017447916666666667,0.009635416666666667,0.28471811038011696,0.12736545138888886
dsads,LAC,hypergeom,0.1,0.003645833333333334,0.0028645833333333336,0.0007812500000000002,4.157529239766082e-05,0.0008101851851851849
dsads,LAC,hypergeom,0.25,0.005208333333333333,0.0031250000000000006,0.0020833333333333333,0.0071330180921052614,0.004673032407407404
dsads,LAC,hypergeom,0.5,0.009114583333333334,0.00390625,0.00390625,0.0647147980628655,0.02706886574074073
dsads,LAC,hypergeom,1.0,0.013541666666666667,0.0046875,0.005989583333333334,0.27446637426900583,0.09301938657407405
dsads,LAC,martingale,0.1,0.00026041666666666666,0.0,0.00026041666666666666,0.0005057565789473685,6.510416666666667e-05
dsads,LAC,martingale,0.25,0.0015625000000000003,0.0005208333333333333,0.0010416666666666667,0.0036513157894736835,0.00134548611111111
dsads,LAC,martingale,0.5,0.0026041666666666665,0.0005208333333333333,0.0015625000000000003,0.04088233278508772,0.010995370370370364
dsads,LAC,martingale,1.0,0.0033854166666666668,0.0005208333333333333,0.0015625000000000003,0.2273150813230994,0.05041232638888887
dsads,LAC,midpoint,0.5,0.16171875,0.14765625000000002,0.0054687500000000005,-0.0006637198464912288,0.04191984953703703
dsads,LAC,no_intersection,0.5,0.0013020833333333333,0.0013020833333333333,0.0,0.06789667854532162,0.030280671296296285
dsads,LAC,one_look_50,0.5,0.023958333333333335,0.01171875,0.8921875,2.405087833516082,0.5
dsads,LAC,sparse_checks,0.5,0.020833333333333332,0.009375,0.007291666666666668,0.024372715643274853,0.02150607638888889
dsads,LAC,uncorrected,0.5,0.11223958333333334,0.06197916666666667,0.033854166666666664,0.08780439053362572,0.09035011574074071
har,APS,fixed_25,0.5,0.9429166666666667,0.41875,0.026041666666666668,0.021331799488328043,0.75
har,APS,fixed_50,0.5,0.9097916666666667,0.42083333333333334,0.0025000000000000005,0.007043796852727702,0.5
har,APS,fixed_75,0.5,0.8477083333333333,0.389375,0.0004166666666666667,0.0020423403454241495,0.25
har,APS,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
har,APS,horizon,0.1,0.03208333333333333,0.017916666666666668,0.009166666666666667,0.024793684333737624,0.06926649305555553
har,APS,horizon,0.25,0.034375,0.017083333333333336,0.007916666666666667,0.09747783721096023,0.2645659722222222
har,APS,horizon,0.5,0.028333333333333335,0.012708333333333334,0.005625000000000001,0.22494347272456555,0.5045138888888888
har,APS,horizon,1.0,0.018333333333333333,0.008541666666666668,0.0010416666666666667,0.4406793170825479,0.7074175347222222
har,APS,hypergeom,0.1,0.007083333333333334,0.002916666666666667,0.0022916666666666667,0.024297141770701122,0.046710069444444426
