dataset,score,policy,tolerance,ceiling,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
dsads,APS,fixed_25,0.5,120,0.8917511878654971,7.8911284722222215,0.03460115131578944,0.004778417397660811,0.45460754751461985,0.002748538011695885,30.0,0.7500000000000004
dsads,APS,fixed_25,0.5,240,0.8923483187134503,7.693405062134502,0.030449561403508744,0.005905519005847923,0.3082022112573099,-0.0007378472222222271,60.0,0.7500000000000004
dsads,APS,fixed_25,0.5,480,0.8898218201754386,7.551136239035087,0.03130847953216371,0.003703399122807004,0.19323739035087717,0.0002549342105263042,90.0,0.7500000000000004
dsads,APS,fixed_25,0.5,960,0.8898218201754386,7.551136239035087,0.03130847953216371,0.003703399122807004,0.19323739035087717,0.0002549342105263042,90.0,0.7500000000000004
dsads,APS,fixed_50,0.5,120,0.8884411549707601,7.585386056286549,0.03350785818713447,0.0014683845029239753,0.1488651315789474,0.0016552448830409185,60.0,0.5000000000000002
dsads,APS,fixed_50,0.5,240,0.8893028143274854,7.521076845760234,0.030622715643274834,0.002860014619883017,0.1358739948830409,-0.0005646929824561353,120.0,0.5000000000000002
dsads,APS,fixed_50,0.5,480,0.8875233004385965,7.423045961257309,0.030982273391812847,0.0014048793859649004,0.0651471125730994,-7.127192982456248e-05,180.0,0.5000000000000002
dsads,APS,fixed_50,0.5,960,0.8875233004385965,7.423045961257309,0.030982273391812847,0.0014048793859649004,0.0651471125730994,-7.127192982456248e-05,180.0,0.5000000000000002
dsads,APS,fixed_75,0.5,120,0.888280793128655,7.493318713450292,0.031673062865497044,0.0013080226608187127,0.05679778874269006,-0.00017955043859649636,90.0,0.2500000000000001
dsads,APS,fixed_75,0.5,240,0.8869298245614035,7.411267361111111,0.03149945175438595,0.0004870248538011621,0.02606451023391809,0.00031204312865496685,180.0,0.2500000000000001
dsads,APS,fixed_75,0.5,480,0.8868941885964912,7.3928097587719295,0.030774396929824536,0.0007757675438596311,0.03491091008771929,-0.00027914839181285625,270.0,0.2500000000000001
dsads,APS,fixed_75,0.5,960,0.8868941885964912,7.3928097587719295,0.030774396929824536,0.0007757675438596311,0.03491091008771929,-0.00027914839181285625,270.0,0.2500000000000001
dsads,APS,full_reference,0.5,120,0.8869727704678363,7.436520924707604,0.03185261330409354,0.0,0.0,0.0,120.0,0.0
dsads,APS,full_reference,0.5,240,0.8864427997076024,7.385202850877192,0.03118740862573097,0.0,0.0,0.0,240.0,0.0
dsads,APS,full_reference,0.5,480,0.8861184210526316,7.3578988486842105,0.03105354532163741,0.0,0.0,0.0,360.0,0.0
dsads,APS,full_reference,0.5,960,0.8861184210526316,7.3578988486842105,0.03105354532163741,0.0,0.0,0.0,360.0,0.0
dsads,APS,horizon,0.1,120,0.886906980994152,7.434036458333334,0.0319019554093567,-6.578947368420491e-05,-0.002484466374268998,4.9342105263154987e-05,119.83333333333333,0.0013888888888888707
dsads,APS,horizon,0.1,240,0.8863486842105264,7.38257264254386,0.03127010233918126,-9.411549707602277e-05,-0.0026302083333333355,8.269371345029174e-05,239.47916666666666,0.0021701388888888708
dsads,APS,horizon,0.1,480,0.8861851242690059,7.358819444444445,0.031054459064327463,6.670321637426361e-05,0.0009205957602339084,9.137426900620481e-07,358.375,0.004513888888888846
dsads,APS,horizon,0.1,960,0.8861851242690059,7.358819444444445,0.031054459064327463,6.670321637426361e-05,0.0009205957602339084,9.137426900620481e-07,358.375,0.004513888888888846
dsads,APS,horizon,0.25,120,0.8867950475146199,7.432618329678363,0.03201937134502921,-0.000177722953216366,-0.003902595029239762,0.00016675804093566654,119.4375,0.00468749999999997
dsads,APS,horizon,0.25,240,0.886609557748538,7.390051169590643,0.031127558479532136,0.00016675804093565691,0.004848318713450267,-5.985014619881503e-05,238.02083333333334,0.008246527777777754
dsads,APS,horizon,0.25,480,0.8868951023391812,7.382291666666667,0.030634594298245596,0.0007766812865496715,0.024392817982456103,-0.00041895102339179017,353.5625,0.01788194444444441
dsads,APS,horizon,0.25,960,0.8868951023391812,7.382291666666667,0.030634594298245596,0.0007766812865496715,0.024392817982456103,-0.00041895102339179017,353.5625,0.01788194444444441
dsads,APS,horizon,0.5,120,0.8872199378654971,7.444877558479533,0.0317644371345029,0.0002471673976607958,0.0083566337719298,-8.817616959063414e-05,117.52083333333333,0.020659722222222173
dsads,APS,horizon,0.5,240,0.8886019736842106,7.445625913742689,0.029778874269005818,0.002159173976608146,0.060423062865497056,-0.0014085343567251149,231.39583333333334,0.0358506944444444
dsads,APS,horizon,0.5,480,0.890764802631579,7.4909790752923975,0.027947733918128635,0.004646381578947332,0.1330802266081871,-0.00310581140350874,337.0,0.06388888888888884
dsads,APS,horizon,0.5,960,0.890764802631579,7.4909790752923975,0.027947733918128635,0.004646381578947332,0.1330802266081871,-0.00310581140350874,337.0,0.06388888888888884
dsads,APS,horizon,1.0,120,0.8903298611111111,7.537125365497076,0.02975511695906431,0.0033570906432748063,0.10060444078947366,-0.0020974963450292104,111.45833333333333,0.07118055555555548
dsads,APS,horizon,1.0,240,0.8977174707602339,7.713221399853801,0.023949195906432727,0.011274671052631533,0.32801854897660815,-0.007238212719298212,208.70833333333334,0.13038194444444443
dsads,APS,horizon,1.0,480,0.9005980445906432,7.804126461988304,0.021860836988304072,0.014479623538011646,0.4462276133040935,-0.009192708333333301,293.9375,0.1835069444444444
dsads,APS,horizon,1.0,960,0.9005980445906432,7.804126461988304,0.021860836988304072,0.014479623538011646,0.4462276133040935,-0.009192708333333301,293.9375,0.1835069444444444
dsads,APS,hypergeom,0.1,120,0.8869727704678363,7.436520924707604,0.03185261330409354,0.0,0.0,0.0,120.0,0.0
dsads,APS,hypergeom,0.1,240,0.8864551352339182,7.385530427631579,0.03117507309941518,1.2335526315787666e-05,0.0003275767543859625,-1.2335526315787666e-05,239.89583333333334,0.000434027777777775
dsads,APS,hypergeom,0.1,480,0.8862175621345029,7.3596747076023386,0.031011970029239746,9.914108187133909e-05,0.0017758589181286397,-4.157529239765493e-05,359.625,0.0010416666666666376
dsads,APS,hypergeom,0.1,960,0.8862175621345029,7.3596747076023386,0.031011970029239746,9.914108187133909e-05,0.0017758589181286397,-4.157529239765493e-05,359.625,0.0010416666666666376
dsads,APS,hypergeom,0.25,120,0.8869805372807017,7.437061860380118,0.03185261330409354,7.766812865496354e-06,0.0005409356725146146,0.0,119.89583333333333,0.0008680555555555459
dsads,APS,hypergeom,0.25,240,0.8866525036549708,7.39046875,0.031068165204678335,0.000209703947368405,0.005265899122807002,-0.00011924342105261905,238.89583333333334,0.0046006944444444255
dsads,APS,hypergeom,0.25,480,0.8866511330409357,7.373267086988304,0.030786732456140328,0.0005327119883040636,0.015368238304093527,-0.00026681286549705695,357.375,0.007291666666666621
dsads,APS,hypergeom,0.25,960,0.8866511330409357,7.373267086988304,0.030786732456140328,0.0005327119883040636,0.015368238304093527,-0.00026681286549705695,357.375,0.007291666666666621
dsads,APS,hypergeom,0.5,120,0.8872715643274853,7.4450086805555555,0.03164610745614032,0.0002987938596491027,0.008487755847953192,-0.00020650584795320486,118.9375,0.008854166666666625
dsads,APS,hypergeom,0.5,240,0.8885087719298245,7.442154148391812,0.02983141447368419,0.0020659722222221757,0.05695129751461984,-0.0013559941520467486,233.89583333333334,0.025434027777777746
dsads,APS,hypergeom,0.5,480,0.889921418128655,7.46718932748538,0.028576845760233904,0.003802997076023352,0.10929047880116956,-0.002476699561403477,345.875,0.03923611111111108
dsads,APS,hypergeom,0.5,960,0.889921418128655,7.46718932748538,0.028576845760233904,0.003802997076023352,0.10929047880116956,-0.002476699561403477,345.875,0.03923611111111108
dsads,APS,hypergeom,1.0,120,0.8904303728070175,7.540071271929825,0.029711257309941494,0.003457602339181244,0.10355034722222219,-0.0021413559941520165,114.5,0.04583333333333326
dsads,APS,hypergeom,1.0,240,0.8975434027777779,7.70765533625731,0.023931377923976583,0.011100603070175387,0.3224524853801169,-0.007256030701754348,216.20833333333334,0.0991319444444444
dsads,APS,hypergeom,1.0,480,0.9003563596491228,7.791806469298245,0.021953581871345006,0.01423793859649118,0.43390762061403504,-0.009099963450292367,310.6458333333333,0.13709490740740737
dsads,APS,hypergeom,1.0,960,0.9003563596491228,7.791806469298245,0.021953581871345006,0.01423793859649118,0.43390762061403504,-0.009099963450292367,310.6458333333333,0.13709490740740737
dsads,APS,martingale,0.1,120,0.8869727704678363,7.436520924707604,0.03185261330409354,0.0,0.0,0.0,120.0,0.0
dsads,APS,martingale,0.1,240,0.8864427997076024,7.385202850877192,0.03118740862573097,0.0,0.0,0.0,240.0,0.0
dsads,APS,martingale,0.1,480,0.8861207054093567,7.357956871345029,0.03105354532163741,2.284356725146206e-06,5.8022660818712495e-05,0.0,359.9791666666667,5.7870370370366666e-05
dsads,APS,martingale,0.1,960,0.8861207054093567,7.357956871345029,0.03105354532163741,2.284356725146206e-06,5.8022660818712495e-05,0.0,359.9791666666667,5.7870370370366666e-05
dsads,APS,martingale,0.25,120,0.8869727704678363,7.436520924707604,0.03185261330409354,0.0,0.0,0.0,120.0,0.0
dsads,APS,martingale,0.25,240,0.8865328033625731,7.38789427997076,0.03115588450292395,9.000365497075255e-05,0.0026914290935672355,-3.1524122807012726e-05,239.77083333333334,0.0009548611111110999
dsads,APS,martingale,0.25,480,0.8863633040935673,7.365834703947368,0.030948008040935653,0.0002448830409356529,0.00793585526315787,-0.00010553728070174218,358.9375,0.002951388888888858
dsads,APS,martingale,0.25,960,0.8863633040935673,7.365834703947368,0.030948008040935653,0.0002448830409356529,0.00793585526315787,-0.00010553728070174218,358.9375,0.002951388888888858
dsads,APS,martingale,0.5,120,0.8870230263157896,7.437732090643276,0.03181423611111109,5.025584795320848e-05,0.0012111659356725,-3.837719298245e-05,119.85416666666667,0.0012152777777777583
dsads,APS,martingale,0.5,240,0.8873606542397661,7.411106085526316,0.030692160087719276,0.0009178545321637087,0.025903234649122777,-0.000495248538011671,238.16666666666666,0.007638888888888858
dsads,APS,martingale,0.5,480,0.8889181286549707,7.439997715643275,0.0293503289473684,0.00279970760233914,0.08209886695906429,-0.0017032163742689772,352.8333333333333,0.019907407407407356
dsads,APS,martingale,0.5,960,0.8889181286549707,7.439997715643275,0.0293503289473684,0.00279970760233914,0.08209886695906429,-0.0017032163742689772,352.8333333333333,0.019907407407407356
dsads,APS,martingale,1.0,120,0.8877430555555555,7.463244700292399,0.031483461257309914,0.0007702850877192646,0.026723775584795297,-0.00036915204678360437,118.77083333333333,0.010243055555555512
dsads,APS,martingale,1.0,240,0.8942301717836257,7.608782894736842,0.02646975511695904,0.0077873720760233455,0.2235800438596491,-0.004717653508771892,229.02083333333334,0.04574652777777776
dsads,APS,martingale,1.0,480,0.9001260964912281,7.781735197368421,0.022141355994152036,0.014007675438596441,0.4238363486842105,-0.008912189327485349,329.4375,0.0848958333333333
dsads,APS,martingale,1.0,960,0.9001260964912281,7.781735197368421,0.022141355994152036,0.014007675438596441,0.4238363486842105,-0.008912189327485349,329.4375,0.0848958333333333
dsads,APS,midpoint,0.5,120,0.8864843750000001,7.426125730994152,0.03224186769005845,-0.0004883954678362342,-0.01039519371345026,0.00038925438596489325,117.52083333333333,0.020659722222222173
dsads,APS,midpoint,0.5,240,0.8864852887426901,7.3882506396198835,0.031235836988304077,4.248903508771092e-05,0.003047788742690042,4.84283625730974e-05,231.39583333333334,0.0358506944444444
dsads,APS,midpoint,0.5,480,0.8866223501461988,7.373998538011695,0.030694444444444427,0.0005039290935672316,0.016099689327485362,-0.0003591008771929649,337.0,0.06388888888888884
dsads,APS,midpoint,0.5,960,0.8866223501461988,7.373998538011695,0.030694444444444427,0.0005039290935672316,0.016099689327485362,-0.0003591008771929649,337.0,0.06388888888888884
dsads,APS,no_intersection,0.5,120,0.8872610562865497,7.445015990497076,0.0316598135964912,0.000288285818713434,0.008495065789473661,-0.00019279970760232941,118.77083333333333,0.010243055555555521
dsads,APS,no_intersection,0.5,240,0.8883648574561404,7.438626187865498,0.029941977339181265,0.001922057748537965,0.05342333698830406,-0.0012454312865496776,234.625,0.0223958333333333
dsads,APS,no_intersection,0.5,480,0.8902480811403509,7.4757743969298245,0.028289473684210507,0.004129660087719252,0.11787554824561401,-0.002764071637426875,343.3541666666667,0.0462384259259259
dsads,APS,no_intersection,0.5,960,0.8902480811403509,7.4757743969298245,0.028289473684210507,0.004129660087719252,0.11787554824561401,-0.002764071637426875,343.3541666666667,0.0462384259259259
dsads,APS,one_look_50,0.5,120,0.9423190789473684,10.11562134502924,0.00959064327485377,0.05534630847953212,2.6791004203216375,-0.022261970029239745,60.0,0.5000000000000002
dsads,APS,one_look_50,0.5,240,0.9339318347953216,9.350952119883042,0.010194170321637401,0.04748903508771924,1.9657492690058478,-0.02099323830409354,120.0,0.5000000000000002
dsads,APS,one_look_50,0.5,480,0.9256387061403508,8.82210389254386,0.011853070175438575,0.039520285087719244,1.4642050438596492,-0.0192004751461988,180.0,0.5000000000000002
dsads,APS,one_look_50,0.5,960,0.9256387061403508,8.82210389254386,0.011853070175438575,0.039520285087719244,1.4642050438596492,-0.0192004751461988,180.0,0.5000000000000002
dsads,APS,sparse_checks,0.5,120,0.8870129751461988,7.437760873538012,0.031881396198830375,4.0204678362568975e-05,0.0012399488304093479,2.878289473684323e-05,119.10416666666667,0.007465277777777771
dsads,APS,sparse_checks,0.5,240,0.8863687865497076,7.3852238669590635,0.03127512792397658,-7.401315789473937e-05,2.101608187134167e-05,8.771929824561667e-05,238.0,0.008333333333333321
dsads,APS,sparse_checks,0.5,480,0.8881793676900585,7.418694718567252,0.0298487755847953,0.0020609466374268545,0.0607958698830409,-0.0012047697368420777,347.5833333333333,0.034490740740740704
dsads,APS,sparse_checks,0.5,960,0.8881793676900585,7.418694718567252,0.0298487755847953,0.0020609466374268545,0.0607958698830409,-0.0012047697368420777,347.5833333333333,0.034490740740740704
dsads,APS,uncorrected,0.5,120,0.8875689875730995,7.455645102339182,0.03156432748538009,0.0005962171052631315,0.019124177631578917,-0.00028828581871343173,117.10416666666667,0.02413194444444439
dsads,APS,uncorrected,0.5,240,0.8896509502923977,7.477529239766081,0.029098592836257292,0.0032081505847952833,0.09232638888888885,-0.0020888157894736604,220.60416666666666,0.08081597222222218
