subject,score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
1,APS,120,CS_beta_9_1,0.8920097222222222,3.5560444444444443,0.009990277777777733,0.11187499999999995,102.56666666666666,0.14527777777777776
1,APS,120,CS_uniform,0.8914444444444445,3.5422027777777783,0.009424999999999954,0.09803333333333326,106.33333333333333,0.11388888888888886
1,APS,120,HG,0.8934111111111112,3.571940277777778,0.011391666666666621,0.12777083333333328,97.3,0.18916666666666665
1,APS,120,JRC,0.8933152777777777,3.570883333333333,0.011295833333333293,0.12671388888888885,90.0,0.25000000000000006
1,APS,120,fixed_25,0.8849152777777778,3.5302513888888893,0.002895833333333324,0.08608194444444442,30.0,0.7500000000000004
1,APS,120,fixed_50,0.8822847222222222,3.4716930555555554,0.0002652777777777757,0.027523611111111075,60.0,0.5000000000000002
1,APS,120,fixed_75,0.880875,3.446459722222222,-0.001144444444444429,0.0022902777777777735,90.0,0.2500000000000001
1,APS,120,full_reference,0.8820194444444444,3.444169444444445,0.0,0.0,120.0,0.0
1,APS,240,CS_beta_9_1,0.8972277777777777,3.5952763888888892,0.016299999999999967,0.17892499999999997,177.0,0.2625
1,APS,240,CS_uniform,0.8978055555555556,3.6029597222222227,0.016877777777777755,0.1866083333333333,187.4,0.21916666666666665
1,APS,240,HG,0.8976833333333333,3.6014083333333335,0.01675555555555552,0.1850569444444444,166.23333333333332,0.3073611111111111
1,APS,240,JRC,0.8969444444444444,3.593788888888889,0.016016666666666627,0.17743749999999997,152.2,0.3658333333333334
1,APS,240,fixed_25,0.882611111111111,3.4758333333333336,0.0016833333333333067,0.05948194444444443,60.0,0.7500000000000004
1,APS,240,fixed_50,0.8811625,3.4353416666666665,0.0002347222222222316,0.018990277777777762,120.0,0.5000000000000002
1,APS,240,fixed_75,0.8805763888888888,3.420083333333333,-0.0003513888888888756,0.00373194444444444,180.0,0.2500000000000001
1,APS,240,full_reference,0.8809277777777776,3.4163513888888892,0.0,0.0,240.0,0.0
1,LAC,120,CS_beta_9_1,0.7951125000000001,2.1602666666666663,0.0349805555555555,0.13291666666666663,101.66666666666667,0.15277777777777773
1,LAC,120,CS_uniform,0.7941986111111112,2.155351388888889,0.03406666666666662,0.12800138888888885,105.46666666666667,0.12111111111111109
1,LAC,120,HG,0.7989000000000002,2.1816166666666663,0.03876805555555551,0.15426666666666664,96.53333333333333,0.19555555555555557
1,LAC,120,JRC,0.7968000000000001,2.175633333333333,0.036668055555555516,0.14828333333333327,88.16666666666667,0.26527777777777783
1,LAC,120,fixed_25,0.7743708333333333,2.232002777777778,0.014238888888888865,0.20465277777777774,30.0,0.7500000000000004
1,LAC,120,fixed_50,0.7657722222222223,2.1194416666666664,0.005640277777777747,0.09209166666666664,60.0,0.5000000000000002
1,LAC,120,fixed_75,0.76125,2.0647208333333333,0.0011180555555555598,0.03737083333333336,90.0,0.2500000000000001
1,LAC,120,full_reference,0.7601319444444444,2.0273499999999998,0.0,0.0,120.0,0.0
1,LAC,240,CS_beta_9_1,0.8077916666666668,2.1963861111111114,0.05002361111111106,0.21813749999999996,170.96666666666667,0.28763888888888894
1,LAC,240,CS_uniform,0.8087472222222222,2.2012986111111115,0.05097916666666662,0.22305,182.66666666666666,0.2388888888888889
1,LAC,240,HG,0.8084236111111112,2.201923611111111,0.0506555555555555,0.22367499999999998,162.5,0.32291666666666674
1,LAC,240,JRC,0.8054069444444445,2.1936625000000003,0.047638888888888856,0.21541388888888888,149.5,0.3770833333333333
1,LAC,240,fixed_25,0.7647569444444445,2.0889652777777776,0.0069888888888888735,0.11071666666666662,60.0,0.7500000000000004
1,LAC,240,fixed_50,0.7581680555555557,2.0013777777777775,0.0004000000000000073,0.023129166666666635,120.0,0.5000000000000002
1,LAC,240,fixed_75,0.7579736111111112,1.9907458333333332,0.00020555555555556656,0.0124972222222222,180.0,0.2500000000000001
1,LAC,240,full_reference,0.7577680555555556,1.978248611111111,0.0,0.0,240.0,0.0
2,APS,120,CS_beta_9_1,0.8745513888888888,2.9551972222222225,0.012590277777777733,0.08613055555555552,109.36666666666666,0.08861111111111104
2,APS,120,CS_uniform,0.8721791666666666,2.9451125,0.01021805555555552,0.0760458333333333,112.16666666666667,0.06527777777777773
2,APS,120,HG,0.8772458333333333,2.972172222222222,0.015284722222222174,0.10310555555555553,105.53333333333333,0.12055555555555549
2,APS,120,JRC,0.8768819444444443,2.9741097222222224,0.014920833333333293,0.10504305555555553,100.2,0.165
2,APS,120,fixed_25,0.8620263888888888,3.0602805555555554,6.527777777775348e-05,0.19121388888888888,30.0,0.7500000000000004
2,APS,120,fixed_50,0.864536111111111,2.986727777777778,0.002574999999999981,0.11766111111111106,60.0,0.5000000000000002
2,APS,120,fixed_75,0.8630652777777778,2.9010208333333334,0.0011041666666666513,0.03195416666666666,90.0,0.2500000000000001
2,APS,120,full_reference,0.8619611111111111,2.8690666666666664,0.0,0.0,120.0,0.0
2,APS,240,CS_beta_9_1,0.8809027777777776,2.9410694444444445,0.02357222222222218,0.16398055555555552,201.13333333333333,0.16194444444444445
2,APS,240,CS_uniform,0.8808013888888888,2.942013888888889,0.023470833333333285,0.16492499999999996,208.83333333333334,0.1298611111111111
2,APS,240,HG,0.8825083333333332,2.9577194444444443,0.025177777777777723,0.18063055555555552,192.0,0.20000000000000004
2,APS,240,JRC,0.881784722222222,2.9539055555555556,0.024454166666666634,0.17681666666666665,181.4,0.2441666666666667
2,APS,240,fixed_25,0.8652194444444443,2.9535625,0.007888888888888872,0.1764736111111111,60.0,0.7500000000000004
2,APS,240,fixed_50,0.8616222222222222,2.857177777777778,0.004291666666666649,0.08008888888888886,120.0,0.5000000000000002
2,APS,240,fixed_75,0.8577430555555554,2.8015708333333333,0.00041249999999997994,0.02448194444444444,180.0,0.2500000000000001
2,APS,240,full_reference,0.8573305555555554,2.777088888888889,0.0,0.0,240.0,0.0
2,LAC,120,CS_beta_9_1,0.8939805555555556,1.9560083333333333,0.005627777777777733,0.07936249999999999,107.93333333333334,0.1005555555555555
2,LAC,120,CS_uniform,0.892738888888889,1.9372069444444444,0.004386111111111073,0.06056111111111108,111.66666666666667,0.0694444444444444
2,LAC,120,HG,0.8946847222222222,1.9646361111111112,0.006331944444444393,0.08799027777777774,103.86666666666666,0.1344444444444444
2,LAC,120,JRC,0.8942819444444444,1.9609472222222224,0.005929166666666626,0.08430138888888886,97.46666666666667,0.1877777777777778
2,LAC,120,fixed_25,0.895401388888889,2.0793958333333333,0.0070486111111110715,0.20274999999999999,30.0,0.7500000000000004
2,LAC,120,fixed_50,0.8937916666666667,1.983423611111111,0.005438888888888856,0.10677777777777772,60.0,0.5000000000000002
2,LAC,120,fixed_75,0.8890319444444444,1.8994833333333332,0.0006791666666666487,0.0228375,90.0,0.2500000000000001
2,LAC,120,full_reference,0.8883527777777778,1.8766458333333336,0.0,0.0,120.0,0.0
