model,score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
IT,APS,120,CS_beta_9_1,0.9340050925925927,4.092569444444444,0.008981481481481425,0.0953055555555555,106.86666666666666,0.10944444444444439
IT,APS,120,CS_uniform,0.9324069444444445,4.077217592592593,0.007383333333333291,0.07995370370370367,110.33333333333333,0.0805555555555555
IT,APS,120,HG,0.9347458333333333,4.101693518518519,0.009722222222222172,0.1044296296296296,102.33333333333333,0.1472222222222222
IT,APS,120,JRC,0.9344509259259259,4.101050925925926,0.00942731481481477,0.10378703703703701,96.13333333333334,0.1988888888888889
IT,APS,120,fixed_25,0.9213930555555555,4.054087037037037,-0.0036305555555555583,0.056823148148148137,30.0,0.7500000000000004
IT,APS,120,fixed_50,0.9248018518518519,4.037074074074074,-0.00022175925925926169,0.03981018518518516,60.0,0.5000000000000002
IT,APS,120,fixed_75,0.9242930555555555,4.010063425925925,-0.0007305555555555512,0.012799537037037009,90.0,0.2500000000000001
IT,APS,120,full_reference,0.925023611111111,3.997263888888889,0.0,0.0,120.0,0.0
IT,APS,240,CS_beta_9_1,0.9393101851851853,4.137131018518518,0.01488611111111106,0.1680606481481481,190.46666666666667,0.20638888888888887
IT,APS,240,CS_uniform,0.9397907407407408,4.1421421296296295,0.015366666666666619,0.17307175925925922,198.83333333333334,0.17152777777777775
IT,APS,240,HG,0.9398569444444446,4.144677777777777,0.015432870370370317,0.17560740740740738,181.03333333333333,0.24569444444444447
IT,APS,240,JRC,0.9395824074074075,4.143049537037037,0.015158333333333282,0.17397916666666666,168.60000000000002,0.29750000000000004
IT,APS,240,fixed_25,0.925786574074074,4.044399074074074,0.0013624999999999898,0.07532870370370369,60.0,0.7500000000000004
IT,APS,240,fixed_50,0.9252930555555555,4.002458796296296,0.0008689814814814814,0.03338842592592592,120.0,0.5000000000000002
IT,APS,240,fixed_75,0.9239967592592593,3.970855555555555,-0.0004273148148148096,0.0017851851851851874,180.0,0.2500000000000001
