score,N,policy,bracket_failure,threshold_failure,inflation_failure,actual_inflation,saving
APS,120,CS_beta_9_1,0.0044444444444444444,0.0033333333333333335,0.0,0.11824814814814813,0.12972222222222218
APS,120,CS_uniform,0.0011111111111111111,0.0005555555555555556,0.0,0.1006125,0.09666666666666665
APS,120,HG,0.011666666666666667,0.006111111111111111,0.0005555555555555556,0.13079120370370367,0.16962962962962957
APS,120,JRC,0.03666666666666667,0.025,0.002777777777777778,0.1294543209876543,0.2301851851851852
APS,120,fixed_25,0.9127777777777778,0.36777777777777776,0.15166666666666667,0.11207114197530864,0.75
APS,120,fixed_50,0.8455555555555555,0.3616666666666667,0.07833333333333334,0.0472766975308642,0.5
APS,120,fixed_75,0.7455555555555555,0.3411111111111111,0.027777777777777776,0.01319891975308642,0.25
APS,120,full_reference,0.0,0.0,0.0,0.0,0.0
APS,240,CS_beta_9_1,0.0038888888888888888,0.002777777777777778,0.0,0.1913458333333333,0.2337037037037037
APS,240,CS_uniform,0.0005555555555555556,0.0,0.0005555555555555556,0.19767577160493827,0.19282407407407404
APS,240,HG,0.0077777777777777776,0.0038888888888888888,0.002777777777777778,0.19620709876543208,0.2756944444444444
APS,240,JRC,0.030555555555555555,0.013333333333333334,0.008888888888888889,0.18941620370370366,0.33287037037037037
APS,240,fixed_25,0.905,0.38333333333333336,0.09555555555555556,0.08507160493827161,0.75
APS,240,fixed_50,0.8505555555555555,0.38722222222222225,0.045,0.030236419753086417,0.5
APS,240,fixed_75,0.7694444444444445,0.36777777777777776,0.017222222222222222,0.0067919753086419735,0.25
APS,240,full_reference,0.0,0.0,0.0,0.0,0.0
LAC,120,CS_beta_9_1,0.0033333333333333335,0.0022222222222222222,0.0,0.11676836419753085,0.13351851851851848
LAC,120,CS_uniform,0.0011111111111111111,0.0005555555555555556,0.0,0.10080185185185184,0.09879629629629628
LAC,120,HG,0.010555555555555556,0.006111111111111111,0.0,0.1332731481481481,0.1737037037037037
LAC,120,JRC,0.03111111111111111,0.021666666666666667,0.0022222222222222222,0.12899830246913577,0.23787037037037034
LAC,120,fixed_25,0.9233333333333333,0.365,0.17055555555555554,0.17854783950617284,0.75
LAC,120,fixed_50,0.8827777777777778,0.3827777777777778,0.08611111111111111,0.07820524691358025,0.5
LAC,120,fixed_75,0.7894444444444444,0.3616666666666667,0.03666666666666667,0.0232858024691358,0.25
LAC,120,full_reference,0.0,0.0,0.0,0.0,0.0
LAC,240,CS_beta_9_1,0.002777777777777778,0.002777777777777778,0.0,0.19507438271604938,0.25134259259259256
LAC,240,CS_uniform,0.0011111111111111111,0.0005555555555555556,0.0,0.1985418209876543,0.20638888888888884
LAC,240,HG,0.006666666666666667,0.0038888888888888888,0.0,0.19438996913580242,0.285787037037037
LAC,240,JRC,0.028333333333333332,0.013333333333333334,0.002777777777777778,0.19038379629629626,0.3402777777777778
LAC,240,fixed_25,0.95,0.4072222222222222,0.12,0.12306203703703703,0.75
LAC,240,fixed_50,0.915,0.4255555555555556,0.04777777777777778,0.03516759259259259,0.5
LAC,240,fixed_75,0.865,0.39611111111111114,0.024444444444444446,0.013544290123456787,0.25
LAC,240,full_reference,0.0,0.0,0.0,0.0,0.0
