N,rep,boundary_seconds,online_seconds,queried,exact_crossing,includes_jit_compilation
120,0,0.008453399997961242,0.00030420000257436186,100,0.04842672819556901,False
120,1,0.00804700000298908,0.00016460000188089907,100,0.04842672819556901,False
120,2,0.008385100001760293,0.00014119999832473695,100,0.04842672819556901,False
120,3,0.008609700002125464,0.00014390000433195382,100,0.04842672819556901,False
120,4,0.008074100005615037,0.00013970000145491213,100,0.04842672819556901,False
240,0,0.02013299999816809,0.00022700000408804044,220,0.04605968099272103,False
240,1,0.02077080000162823,0.00023119999968912452,220,0.04605968099272103,False
240,2,0.02710079999815207,0.00027009999757865444,220,0.04605968099272103,False
240,3,0.033324399999401066,0.00034410000080242753,220,0.04605968099272103,False
240,4,0.024028200001339428,0.00023359999613603577,220,0.04605968099272103,False
480,0,0.055706800005282275,0.0004667999965022318,440,0.0499088669268603,False
480,1,0.05298860000038985,0.00044440000056056306,440,0.0499088669268603,False
480,2,0.05234379999455996,0.00041649999911896884,440,0.0499088669268603,False
480,3,0.053399699994770344,0.0005698999957530759,440,0.0499088669268603,False
480,4,0.05454009999812115,0.0005806999979540706,440,0.0499088669268603,False
960,0,0.15362409999943338,0.0004654000003938563,420,0.04980842411204006,False
960,1,0.1553275999976904,0.0004250999991199933,420,0.04980842411204006,False
960,2,0.15200519999780226,0.0004678999976022169,420,0.04980842411204006,False
960,3,0.1521498000001884,0.00043120000191265717,420,0.04980842411204006,False
960,4,0.15396559999499004,0.0004445000013220124,420,0.04980842411204006,False
