dataset,score,draw,N,delta,mode,saving,containment_failure,inflation,inflation_exceeded
mhealth,LAC,10,480,0.05,whole,0.7083333333333333,False,0.3563636363636364,False
mhealth,LAC,10,480,0.05,even_to_odd,0.7083333333333333,False,0.36496350364963503,False
mhealth,LAC,10,480,0.1,whole,0.75,False,0.38545454545454544,False
mhealth,LAC,10,480,0.2,whole,0.7916666666666666,False,0.38545454545454544,False
mhealth,LAC,11,480,0.01,whole,0.7916666666666666,False,0.14545454545454545,False
mhealth,LAC,11,480,0.05,whole,0.8333333333333334,False,0.22545454545454546,False
mhealth,LAC,11,480,0.05,even_to_odd,0.8333333333333334,False,0.24087591240875914,False
mhealth,LAC,11,480,0.1,whole,0.8333333333333334,False,0.12363636363636364,False
mhealth,LAC,11,480,0.2,whole,0.9166666666666666,False,0.12363636363636364,False
mhealth,LAC,12,480,0.01,whole,0.7916666666666666,False,0.3781818181818182,False
mhealth,LAC,12,480,0.05,whole,0.875,False,0.3781818181818182,False
mhealth,LAC,12,480,0.05,even_to_odd,0.875,False,0.38686131386861317,False
mhealth,LAC,12,480,0.1,whole,0.875,False,0.3781818181818182,False
mhealth,LAC,12,480,0.2,whole,0.9166666666666666,False,0.3781818181818182,False
mhealth,LAC,13,480,0.01,whole,0.8333333333333334,False,0.3890909090909091,False
mhealth,LAC,13,480,0.05,whole,0.875,False,0.3890909090909091,False
mhealth,LAC,13,480,0.05,even_to_odd,0.875,False,0.40145985401459855,False
mhealth,LAC,13,480,0.1,whole,0.875,False,0.3890909090909091,False
mhealth,LAC,13,480,0.2,whole,0.9166666666666666,False,0.22181818181818183,False
mhealth,LAC,14,480,0.01,whole,0.7083333333333333,False,0.3890909090909091,False
mhealth,LAC,14,480,0.05,whole,0.7916666666666666,False,0.3890909090909091,False
mhealth,LAC,14,480,0.05,even_to_odd,0.7916666666666666,False,0.40145985401459855,False
mhealth,LAC,14,480,0.1,whole,0.7916666666666666,False,0.3890909090909091,False
mhealth,LAC,14,480,0.2,whole,0.7916666666666666,False,0.2290909090909091,False
mhealth,LAC,15,480,0.01,whole,0.7916666666666666,False,0.32,False
mhealth,LAC,15,480,0.05,whole,0.875,False,0.14909090909090908,False
mhealth,LAC,15,480,0.05,even_to_odd,0.875,False,0.17518248175182483,False
mhealth,LAC,15,480,0.1,whole,0.875,False,0.14909090909090908,False
mhealth,LAC,15,480,0.2,whole,0.9166666666666666,False,0.14909090909090908,False
mhealth,LAC,16,480,0.01,whole,0.8333333333333334,False,0.31636363636363635,False
mhealth,LAC,16,480,0.05,whole,0.875,False,0.2690909090909091,False
mhealth,LAC,16,480,0.05,even_to_odd,0.875,False,0.291970802919708,False
mhealth,LAC,16,480,0.1,whole,0.875,False,0.2690909090909091,False
mhealth,LAC,16,480,0.2,whole,0.9166666666666666,False,0.2690909090909091,False
mhealth,LAC,17,480,0.01,whole,0.7916666666666666,False,0.31272727272727274,False
mhealth,LAC,17,480,0.05,whole,0.8333333333333334,False,0.31272727272727274,False
mhealth,LAC,17,480,0.05,even_to_odd,0.8333333333333334,False,0.29927007299270075,False
mhealth,LAC,17,480,0.1,whole,0.8333333333333334,False,0.14181818181818182,False
mhealth,LAC,17,480,0.2,whole,0.875,False,0.31272727272727274,False
mhealth,LAC,18,480,0.01,whole,0.6666666666666667,False,0.31636363636363635,False
mhealth,LAC,18,480,0.05,whole,0.7083333333333333,False,0.31636363636363635,False
mhealth,LAC,18,480,0.05,even_to_odd,0.7083333333333333,False,0.30656934306569344,False
mhealth,LAC,18,480,0.1,whole,0.7083333333333333,False,0.31636363636363635,False
mhealth,LAC,18,480,0.2,whole,0.7083333333333333,False,0.2509090909090909,False
mhealth,LAC,19,480,0.01,whole,0.7916666666666666,False,0.32,False
mhealth,LAC,19,480,0.05,whole,0.7916666666666666,False,0.2727272727272727,False
mhealth,LAC,19,480,0.05,even_to_odd,0.7916666666666666,False,0.29927007299270075,False
mhealth,LAC,19,480,0.1,whole,0.8333333333333334,False,0.32,False
mhealth,LAC,19,480,0.2,whole,0.8333333333333334,False,0.32,False
mhealth,LAC,20,480,0.01,whole,0.6666666666666667,False,0.38181818181818183,False
mhealth,LAC,20,480,0.05,whole,0.7083333333333333,False,0.38181818181818183,False
mhealth,LAC,20,480,0.05,even_to_odd,0.7083333333333333,False,0.39416058394160586,False
mhealth,LAC,20,480,0.1,whole,0.75,False,0.38181818181818183,False
mhealth,LAC,20,480,0.2,whole,0.7916666666666666,False,0.38181818181818183,False
mhealth,LAC,21,480,0.01,whole,0.7916666666666666,False,0.3490909090909091,False
mhealth,LAC,21,480,0.05,whole,0.8333333333333334,False,0.3490909090909091,False
mhealth,LAC,21,480,0.05,even_to_odd,0.8333333333333334,False,0.35036496350364965,False
mhealth,LAC,21,480,0.1,whole,0.8333333333333334,False,0.2545454545454545,False
mhealth,LAC,21,480,0.2,whole,0.875,False,0.3490909090909091,False
mhealth,LAC,22,480,0.01,whole,0.7916666666666666,False,0.16727272727272727,False
mhealth,LAC,22,480,0.05,whole,0.7916666666666666,False,0.14181818181818182,False
mhealth,LAC,22,480,0.05,even_to_odd,0.7916666666666666,False,0.16058394160583941,False
mhealth,LAC,22,480,0.1,whole,0.8333333333333334,False,0.16727272727272727,False
mhealth,LAC,22,480,0.2,whole,0.875,False,0.16727272727272727,False
mhealth,LAC,23,480,0.01,whole,0.7916666666666666,False,0.38545454545454544,False
mhealth,LAC,23,480,0.05,whole,0.7916666666666666,False,0.38181818181818183,False
mhealth,LAC,23,480,0.05,even_to_odd,0.7916666666666666,False,0.39416058394160586,False
mhealth,LAC,23,480,0.1,whole,0.8333333333333334,False,0.38545454545454544,False
mhealth,LAC,23,480,0.2,whole,0.8333333333333334,False,0.38545454545454544,False
mhealth,LAC,24,480,0.01,whole,0.7916666666666666,False,0.38545454545454544,False
mhealth,LAC,24,480,0.05,whole,0.8333333333333334,False,0.38545454545454544,False
mhealth,LAC,24,480,0.05,even_to_odd,0.8333333333333334,False,0.39416058394160586,False
mhealth,LAC,24,480,0.1,whole,0.8333333333333334,False,0.1709090909090909,False
mhealth,LAC,24,480,0.2,whole,0.875,False,0.1709090909090909,False
mhealth,LAC,25,480,0.01,whole,0.7916666666666666,False,0.26545454545454544,False
mhealth,LAC,25,480,0.05,whole,0.8333333333333334,False,0.26545454545454544,False
mhealth,LAC,25,480,0.05,even_to_odd,0.8333333333333334,False,0.2846715328467153,False
mhealth,LAC,25,480,0.1,whole,0.8333333333333334,False,0.26545454545454544,False
mhealth,LAC,25,480,0.2,whole,0.875,False,0.26545454545454544,False
mhealth,LAC,26,480,0.01,whole,0.75,False,0.3527272727272727,False
mhealth,LAC,26,480,0.05,whole,0.875,False,0.14545454545454545,False
mhealth,LAC,26,480,0.05,even_to_odd,0.875,False,0.1678832116788321,False
mhealth,LAC,26,480,0.1,whole,0.875,False,0.14545454545454545,False
mhealth,LAC,26,480,0.2,whole,0.9166666666666666,False,0.14545454545454545,False
mhealth,LAC,27,480,0.01,whole,0.7916666666666666,False,0.21454545454545454,False
mhealth,LAC,27,480,0.05,whole,0.7916666666666666,False,0.1709090909090909,False
mhealth,LAC,27,480,0.05,even_to_odd,0.7916666666666666,False,0.19708029197080293,False
mhealth,LAC,27,480,0.1,whole,0.8333333333333334,False,0.21454545454545454,False
mhealth,LAC,27,480,0.2,whole,0.9166666666666666,False,0.21454545454545454,False
mhealth,LAC,28,480,0.01,whole,0.7083333333333333,False,0.3527272727272727,False
mhealth,LAC,28,480,0.05,whole,0.7916666666666666,False,0.3527272727272727,False
mhealth,LAC,28,480,0.05,even_to_odd,0.7916666666666666,False,0.35766423357664234,False
mhealth,LAC,28,480,0.1,whole,0.7916666666666666,False,0.3527272727272727,False
mhealth,LAC,28,480,0.2,whole,0.7916666666666666,False,0.3236363636363636,False
mhealth,LAC,29,480,0.01,whole,0.7916666666666666,False,0.32,False
mhealth,LAC,29,480,0.05,whole,0.8333333333333334,False,0.31272727272727274,False
mhealth,LAC,29,480,0.05,even_to_odd,0.8333333333333334,False,0.29927007299270075,False
mhealth,LAC,29,480,0.1,whole,0.8333333333333334,False,0.26545454545454544,False
mhealth,LAC,29,480,0.2,whole,0.9166666666666666,False,0.31272727272727274,False
mhealth,LAC,30,480,0.01,whole,0.8333333333333334,False,0.2727272727272727,False
mhealth,LAC,30,480,0.05,whole,0.875,False,0.2727272727272727,False
mhealth,LAC,30,480,0.05,even_to_odd,0.875,False,0.29927007299270075,False
mhealth,LAC,30,480,0.1,whole,0.875,False,0.2727272727272727,False
mhealth,LAC,30,480,0.2,whole,0.9166666666666666,False,0.2727272727272727,False
mhealth,LAC,31,480,0.01,whole,0.75,False,0.38545454545454544,False
mhealth,LAC,31,480,0.05,whole,0.7916666666666666,False,0.38545454545454544,False
mhealth,LAC,31,480,0.05,even_to_odd,0.7916666666666666,False,0.39416058394160586,False
mhealth,LAC,31,480,0.1,whole,0.8333333333333334,False,0.38545454545454544,False
mhealth,LAC,31,480,0.2,whole,0.8333333333333334,False,0.38545454545454544,False
mhealth,LAC,32,480,0.01,whole,0.7916666666666666,False,0.19272727272727272,False
mhealth,LAC,32,480,0.05,whole,0.875,False,0.26545454545454544,False
mhealth,LAC,32,480,0.05,even_to_odd,0.875,False,0.2846715328467153,False
mhealth,LAC,32,480,0.1,whole,0.875,False,0.26545454545454544,False
mhealth,LAC,32,480,0.2,whole,0.875,False,0.19272727272727272,False
mhealth,LAC,33,480,0.01,whole,0.7916666666666666,False,0.16363636363636364,False
mhealth,LAC,33,480,0.05,whole,0.8333333333333334,False,0.31636363636363635,False
mhealth,LAC,33,480,0.05,even_to_odd,0.8333333333333334,False,0.30656934306569344,False
mhealth,LAC,33,480,0.1,whole,0.8333333333333334,False,0.16363636363636364,False
mhealth,LAC,33,480,0.2,whole,0.875,False,0.31636363636363635,False
mhealth,LAC,34,480,0.01,whole,0.6666666666666667,False,0.37454545454545457,False
mhealth,LAC,34,480,0.05,whole,0.7083333333333333,False,0.37454545454545457,False
mhealth,LAC,34,480,0.05,even_to_odd,0.7083333333333333,False,0.3795620437956204,False
mhealth,LAC,34,480,0.1,whole,0.7083333333333333,False,0.37454545454545457,False
mhealth,LAC,34,480,0.2,whole,0.7083333333333333,False,0.3090909090909091,False
mhealth,LAC,35,480,0.01,whole,0.6666666666666667,False,0.3527272727272727,False
mhealth,LAC,35,480,0.05,whole,0.7916666666666666,False,0.3527272727272727,False
mhealth,LAC,35,480,0.05,even_to_odd,0.7916666666666666,False,0.35766423357664234,False
mhealth,LAC,35,480,0.1,whole,0.7916666666666666,False,0.3527272727272727,False
mhealth,LAC,35,480,0.2,whole,0.7916666666666666,False,0.2581818181818182,False
mhealth,LAC,36,480,0.01,whole,0.7916666666666666,False,0.32,False
mhealth,LAC,36,480,0.05,whole,0.8333333333333334,False,0.32,False
mhealth,LAC,36,480,0.05,even_to_odd,0.8333333333333334,False,0.31386861313868614,False
mhealth,LAC,36,480,0.1,whole,0.8333333333333334,False,0.24727272727272728,False
mhealth,LAC,36,480,0.2,whole,0.875,False,0.32,False
mhealth,LAC,37,480,0.01,whole,0.8333333333333334,False,0.26181818181818184,False
mhealth,LAC,37,480,0.05,whole,0.875,False,0.26181818181818184,False
mhealth,LAC,37,480,0.05,even_to_odd,0.875,False,0.2846715328467153,False
mhealth,LAC,37,480,0.1,whole,0.875,False,0.26181818181818184,False
mhealth,LAC,37,480,0.2,whole,0.9166666666666666,False,0.22181818181818183,False
mhealth,LAC,38,480,0.01,whole,0.7916666666666666,False,0.2690909090909091,False
mhealth,LAC,38,480,0.05,whole,0.8333333333333334,False,0.3236363636363636,False
mhealth,LAC,38,480,0.05,even_to_odd,0.8333333333333334,False,0.32116788321167883,False
mhealth,LAC,38,480,0.1,whole,0.8333333333333334,False,0.2690909090909091,False
mhealth,LAC,38,480,0.2,whole,0.9166666666666666,False,0.2690909090909091,False
mhealth,LAC,39,480,0.01,whole,0.7916666666666666,False,0.14545454545454545,False
mhealth,LAC,39,480,0.05,whole,0.8333333333333334,False,0.19636363636363635,False
mhealth,LAC,39,480,0.05,even_to_odd,0.8333333333333334,False,0.21897810218978103,False
mhealth,LAC,39,480,0.1,whole,0.8333333333333334,False,0.14181818181818182,False
mhealth,LAC,39,480,0.2,whole,0.875,False,0.19636363636363635,False
mhealth,APS,0,480,0.01,whole,0.33333333333333337,False,0.3381818181818182,False
mhealth,APS,0,480,0.05,whole,0.375,False,0.3236363636363636,False
mhealth,APS,0,480,0.05,even_to_odd,0.41666666666666663,False,0.3284671532846715,False
mhealth,APS,0,480,0.1,whole,0.375,False,0.3236363636363636,False
mhealth,APS,0,480,0.2,whole,0.5,False,0.2727272727272727,False
mhealth,APS,1,480,0.01,whole,0.375,False,0.2690909090909091,False
mhealth,APS,1,480,0.05,whole,0.45833333333333337,False,0.14545454545454545,False
mhealth,APS,1,480,0.05,even_to_odd,0.45833333333333337,False,0.1386861313868613,False
mhealth,APS,1,480,0.1,whole,0.5416666666666667,False,0.12727272727272726,False
mhealth,APS,1,480,0.2,whole,0.5416666666666667,False,0.12727272727272726,False
mhealth,APS,2,480,0.01,whole,0.33333333333333337,False,0.3381818181818182,False
mhealth,APS,2,480,0.05,whole,0.375,False,0.3381818181818182,False
mhealth,APS,2,480,0.05,even_to_odd,0.41666666666666663,False,0.35036496350364965,False
mhealth,APS,2,480,0.1,whole,0.41666666666666663,False,0.3381818181818182,False
mhealth,APS,2,480,0.2,whole,0.7083333333333333,False,0.3381818181818182,False
mhealth,APS,3,480,0.01,whole,0.25,False,0.39636363636363636,False
mhealth,APS,3,480,0.05,whole,0.5833333333333333,False,0.5381818181818182,True
mhealth,APS,3,480,0.05,even_to_odd,0.5833333333333333,False,0.5328467153284672,True
mhealth,APS,3,480,0.1,whole,0.75,False,0.7854545454545454,True
mhealth,APS,3,480,0.2,whole,0.7916666666666666,False,0.7854545454545454,True
mhealth,APS,4,480,0.01,whole,0.25,False,0.3563636363636364,False
mhealth,APS,4,480,0.05,whole,0.375,False,0.4727272727272727,False
mhealth,APS,4,480,0.05,even_to_odd,0.375,False,0.49635036496350365,False
mhealth,APS,4,480,0.1,whole,0.375,False,0.4727272727272727,False
mhealth,APS,4,480,0.2,whole,0.41666666666666663,False,0.4218181818181818,False
mhealth,APS,5,480,0.01,whole,0.25,False,0.31636363636363635,False
mhealth,APS,5,480,0.05,whole,0.375,False,0.3563636363636364,False
mhealth,APS,5,480,0.05,even_to_odd,0.375,False,0.36496350364963503,False
mhealth,APS,5,480,0.1,whole,0.41666666666666663,False,0.3563636363636364,False
mhealth,APS,5,480,0.2,whole,0.45833333333333337,False,0.3563636363636364,False
mhealth,APS,6,480,0.01,whole,0.5,True,-0.08,False
mhealth,APS,6,480,0.05,whole,0.6666666666666667,True,-0.11272727272727273,False
mhealth,APS,6,480,0.05,even_to_odd,0.5833333333333333,True,-0.10218978102189781,False
mhealth,APS,6,480,0.1,whole,0.7083333333333333,True,-0.11272727272727273,False
mhealth,APS,6,480,0.2,whole,0.7083333333333333,True,-0.13090909090909092,False
mhealth,APS,7,480,0.01,whole,0.20833333333333337,False,0.10181818181818182,False
mhealth,APS,7,480,0.05,whole,0.25,False,0.2509090909090909,False
mhealth,APS,7,480,0.05,even_to_odd,0.33333333333333337,False,0.27007299270072993,False
mhealth,APS,7,480,0.1,whole,0.33333333333333337,False,0.2509090909090909,False
mhealth,APS,7,480,0.2,whole,0.33333333333333337,False,0.2509090909090909,False
mhealth,APS,8,480,0.01,whole,0.25,False,0.2909090909090909,False
mhealth,APS,8,480,0.05,whole,0.29166666666666663,False,0.2909090909090909,False
mhealth,APS,8,480,0.05,even_to_odd,0.29166666666666663,False,0.30656934306569344,False
mhealth,APS,8,480,0.1,whole,0.33333333333333337,False,0.3490909090909091,False
mhealth,APS,8,480,0.2,whole,0.33333333333333337,False,0.3490909090909091,False
mhealth,APS,9,480,0.01,whole,0.41666666666666663,False,0.28,False
mhealth,APS,9,480,0.05,whole,0.5416666666666667,False,0.28,False
mhealth,APS,9,480,0.05,even_to_odd,0.5833333333333333,False,0.29927007299270075,False
mhealth,APS,9,480,0.1,whole,0.75,False,0.2545454545454545,False
mhealth,APS,9,480,0.2,whole,0.7916666666666666,False,0.2545454545454545,False
mhealth,APS,10,480,0.01,whole,0.16666666666666663,False,0.3236363636363636,False
mhealth,APS,10,480,0.05,whole,0.33333333333333337,False,0.3563636363636364,False
mhealth,APS,10,480,0.05,even_to_odd,0.33333333333333337,False,0.34306569343065696,False
mhealth,APS,10,480,0.1,whole,0.375,False,0.39636363636363636,False
mhealth,APS,10,480,0.2,whole,0.625,False,0.39636363636363636,False
mhealth,APS,11,480,0.01,whole,0.25,False,0.3381818181818182,False
mhealth,APS,11,480,0.05,whole,0.25,False,0.3054545454545455,False
mhealth,APS,11,480,0.05,even_to_odd,0.25,False,0.32116788321167883,False
mhealth,APS,11,480,0.1,whole,0.33333333333333337,False,0.3381818181818182,False
mhealth,APS,11,480,0.2,whole,0.33333333333333337,False,0.3381818181818182,False
mhealth,APS,12,480,0.01,whole,0.16666666666666663,False,0.26181818181818184,False
mhealth,APS,12,480,0.05,whole,0.25,False,0.33454545454545453,False
mhealth,APS,12,480,0.05,even_to_odd,0.25,False,0.34306569343065696,False
mhealth,APS,12,480,0.1,whole,0.25,False,0.33454545454545453,False
mhealth,APS,12,480,0.2,whole,0.375,False,0.26181818181818184,False
mhealth,APS,13,480,0.01,whole,0.25,False,0.3054545454545455,False
mhealth,APS,13,480,0.05,whole,0.33333333333333337,False,0.3054545454545455,False
mhealth,APS,13,480,0.05,even_to_odd,0.5416666666666667,False,0.32116788321167883,False
mhealth,APS,13,480,0.1,whole,0.5416666666666667,False,0.3054545454545455,False
mhealth,APS,13,480,0.2,whole,0.5833333333333333,False,0.28,False
mhealth,APS,14,480,0.01,whole,0.25,False,0.36,False
mhealth,APS,14,480,0.05,whole,0.375,False,0.4509090909090909,False
mhealth,APS,14,480,0.05,even_to_odd,0.375,False,0.48175182481751827,False
mhealth,APS,14,480,0.1,whole,0.375,False,0.4509090909090909,False
mhealth,APS,14,480,0.2,whole,0.5,False,0.56,True
mhealth,APS,15,480,0.01,whole,0.25,False,0.31636363636363635,False
mhealth,APS,15,480,0.05,whole,0.41666666666666663,False,0.2909090909090909,False
mhealth,APS,15,480,0.05,even_to_odd,0.41666666666666663,False,0.30656934306569344,False
mhealth,APS,15,480,0.1,whole,0.41666666666666663,False,0.2909090909090909,False
mhealth,APS,15,480,0.2,whole,0.5833333333333333,False,0.1781818181818182,False
mhealth,APS,16,480,0.01,whole,0.16666666666666663,False,0.2581818181818182,False
mhealth,APS,16,480,0.05,whole,0.20833333333333337,False,0.2290909090909091,False
mhealth,APS,16,480,0.05,even_to_odd,0.25,False,0.24817518248175183,False
mhealth,APS,16,480,0.1,whole,0.29166666666666663,False,0.07272727272727272,False
mhealth,APS,16,480,0.2,whole,0.375,False,0.0,False
mhealth,APS,17,480,0.01,whole,0.20833333333333337,False,0.3890909090909091,False
mhealth,APS,17,480,0.05,whole,0.25,False,0.3890909090909091,False
mhealth,APS,17,480,0.05,even_to_odd,0.29166666666666663,False,0.38686131386861317,False
mhealth,APS,17,480,0.1,whole,0.33333333333333337,False,0.33090909090909093,False
mhealth,APS,17,480,0.2,whole,0.41666666666666663,False,0.31636363636363635,False
mhealth,APS,18,480,0.01,whole,0.20833333333333337,False,0.29454545454545455,False
mhealth,APS,18,480,0.05,whole,0.29166666666666663,False,0.29454545454545455,False
mhealth,APS,18,480,0.05,even_to_odd,0.29166666666666663,False,0.31386861313868614,False
mhealth,APS,18,480,0.1,whole,0.29166666666666663,False,0.2872727272727273,False
mhealth,APS,18,480,0.2,whole,0.41666666666666663,False,0.31272727272727274,False
mhealth,APS,19,480,0.01,whole,0.25,False,0.28363636363636363,False
mhealth,APS,19,480,0.05,whole,0.5416666666666667,False,0.29818181818181816,False
mhealth,APS,19,480,0.05,even_to_odd,0.5416666666666667,False,0.32116788321167883,False
mhealth,APS,19,480,0.1,whole,0.5416666666666667,False,0.2909090909090909,False
mhealth,APS,19,480,0.2,whole,0.5833333333333333,False,0.2909090909090909,False
mhealth,APS,20,480,0.01,whole,0.25,False,0.23272727272727273,False
mhealth,APS,20,480,0.05,whole,0.33333333333333337,False,0.08363636363636363,False
mhealth,APS,20,480,0.05,even_to_odd,0.33333333333333337,False,0.10218978102189781,False
mhealth,APS,20,480,0.1,whole,0.33333333333333337,False,0.07636363636363637,False
mhealth,APS,20,480,0.2,whole,0.375,False,0.23272727272727273,False
mhealth,APS,21,480,0.01,whole,0.45833333333333337,False,0.10545454545454545,False
mhealth,APS,21,480,0.05,whole,0.5,False,0.01090909090909091,False
mhealth,APS,21,480,0.05,even_to_odd,0.5,False,0.0072992700729927005,False
mhealth,APS,21,480,0.1,whole,0.5,False,0.01090909090909091,False
mhealth,APS,21,480,0.2,whole,0.625,True,-0.08,False
mhealth,APS,22,480,0.01,whole,0.375,False,0.31636363636363635,False
mhealth,APS,22,480,0.05,whole,0.5416666666666667,False,0.31636363636363635,False
mhealth,APS,22,480,0.05,even_to_odd,0.5416666666666667,False,0.3284671532846715,False
mhealth,APS,22,480,0.1,whole,0.5416666666666667,False,0.31636363636363635,False
mhealth,APS,22,480,0.2,whole,0.7083333333333333,False,0.14181818181818182,False
mhealth,APS,23,480,0.01,whole,0.25,False,0.44,False
mhealth,APS,23,480,0.05,whole,0.375,False,0.4909090909090909,False
mhealth,APS,23,480,0.05,even_to_odd,0.375,False,0.49635036496350365,False
mhealth,APS,23,480,0.1,whole,0.41666666666666663,False,0.44,False
mhealth,APS,23,480,0.2,whole,0.5,False,0.5054545454545455,True
mhealth,APS,24,480,0.01,whole,0.25,True,-0.08363636363636363,False
mhealth,APS,24,480,0.05,whole,0.5,True,-0.08363636363636363,False
mhealth,APS,24,480,0.05,even_to_odd,0.45833333333333337,True,-0.08029197080291971,False
mhealth,APS,24,480,0.1,whole,0.5833333333333333,True,-0.08363636363636363,False
mhealth,APS,24,480,0.2,whole,0.7916666666666666,True,-0.12727272727272726,False
mhealth,APS,25,480,0.01,whole,0.25,False,0.10545454545454545,False
mhealth,APS,25,480,0.05,whole,0.5,False,0.31272727272727274,False
mhealth,APS,25,480,0.05,even_to_odd,0.5416666666666667,False,0.3795620437956204,False
mhealth,APS,25,480,0.1,whole,0.5416666666666667,False,0.36727272727272725,False
mhealth,APS,25,480,0.2,whole,0.5416666666666667,False,0.31636363636363635,False
mhealth,APS,26,480,0.01,whole,0.29166666666666663,False,0.3054545454545455,False
mhealth,APS,26,480,0.05,whole,0.375,False,0.28,False
mhealth,APS,26,480,0.05,even_to_odd,0.5,False,0.32116788321167883,False
mhealth,APS,26,480,0.1,whole,0.45833333333333337,False,0.3054545454545455,False
mhealth,APS,26,480,0.2,whole,0.7916666666666666,False,0.10181818181818182,False
mhealth,APS,27,480,0.01,whole,0.25,False,0.3018181818181818,False
mhealth,APS,27,480,0.05,whole,0.375,False,0.3018181818181818,False
mhealth,APS,27,480,0.05,even_to_odd,0.625,False,0.32116788321167883,False
mhealth,APS,27,480,0.1,whole,0.625,False,0.3018181818181818,False
mhealth,APS,27,480,0.2,whole,0.625,False,0.29454545454545455,False
mhealth,APS,28,480,0.01,whole,0.16666666666666663,False,0.2545454545454545,False
mhealth,APS,28,480,0.05,whole,0.20833333333333337,False,0.28,False
mhealth,APS,28,480,0.05,even_to_odd,0.33333333333333337,False,0.31386861313868614,False
mhealth,APS,28,480,0.1,whole,0.20833333333333337,False,0.28,False
mhealth,APS,28,480,0.2,whole,0.29166666666666663,False,0.28,False
mhealth,APS,29,480,0.01,whole,0.16666666666666663,False,0.36727272727272725,False
mhealth,APS,29,480,0.05,whole,0.33333333333333337,False,0.3418181818181818,False
mhealth,APS,29,480,0.05,even_to_odd,0.33333333333333337,False,0.35766423357664234,False
mhealth,APS,29,480,0.1,whole,0.33333333333333337,False,0.3418181818181818,False
mhealth,APS,29,480,0.2,whole,0.41666666666666663,False,0.31272727272727274,False
mhealth,APS,30,480,0.01,whole,0.33333333333333337,False,0.3018181818181818,False
mhealth,APS,30,480,0.05,whole,0.375,False,0.29454545454545455,False
mhealth,APS,30,480,0.05,even_to_odd,0.375,False,0.32116788321167883,False
mhealth,APS,30,480,0.1,whole,0.41666666666666663,False,0.32,False
mhealth,APS,30,480,0.2,whole,0.45833333333333337,False,0.29454545454545455,False
mhealth,APS,31,480,0.01,whole,0.29166666666666663,False,0.36,False
mhealth,APS,31,480,0.05,whole,0.33333333333333337,False,0.29454545454545455,False
mhealth,APS,31,480,0.05,even_to_odd,0.375,False,0.32116788321167883,False
mhealth,APS,31,480,0.1,whole,0.33333333333333337,False,0.29454545454545455,False
mhealth,APS,31,480,0.2,whole,0.625,False,0.29454545454545455,False
mhealth,APS,32,480,0.01,whole,0.25,False,0.3381818181818182,False
mhealth,APS,32,480,0.05,whole,0.25,False,0.3236363636363636,False
mhealth,APS,32,480,0.05,even_to_odd,0.5,False,0.34306569343065696,False
mhealth,APS,32,480,0.1,whole,0.25,False,0.3236363636363636,False
mhealth,APS,32,480,0.2,whole,0.33333333333333337,False,0.3236363636363636,False
mhealth,APS,33,480,0.01,whole,0.25,False,0.2872727272727273,False
mhealth,APS,33,480,0.05,whole,0.375,False,0.31272727272727274,False
mhealth,APS,33,480,0.05,even_to_odd,0.375,False,0.31386861313868614,False
mhealth,APS,33,480,0.1,whole,0.41666666666666663,False,0.31272727272727274,False
mhealth,APS,33,480,0.2,whole,0.41666666666666663,False,0.2872727272727273,False
mhealth,APS,34,480,0.01,whole,0.20833333333333337,False,0.16727272727272727,False
mhealth,APS,34,480,0.05,whole,0.25,False,0.13090909090909092,False
mhealth,APS,34,480,0.05,even_to_odd,0.25,False,0.1386861313868613,False
mhealth,APS,34,480,0.1,whole,0.33333333333333337,False,0.16727272727272727,False
mhealth,APS,34,480,0.2,whole,0.45833333333333337,False,0.16727272727272727,False
mhealth,APS,35,480,0.01,whole,0.25,False,0.3054545454545455,False
mhealth,APS,35,480,0.05,whole,0.375,False,0.3054545454545455,False
mhealth,APS,35,480,0.05,even_to_odd,0.375,False,0.32116788321167883,False
mhealth,APS,35,480,0.1,whole,0.375,False,0.3054545454545455,False
mhealth,APS,35,480,0.2,whole,0.5416666666666667,False,0.3054545454545455,False
mhealth,APS,36,480,0.01,whole,0.25,False,0.32,False
mhealth,APS,36,480,0.05,whole,0.33333333333333337,False,0.36,False
mhealth,APS,36,480,0.05,even_to_odd,0.33333333333333337,False,0.36496350364963503,False
mhealth,APS,36,480,0.1,whole,0.33333333333333337,False,0.36,False
mhealth,APS,36,480,0.2,whole,0.375,False,0.3018181818181818,False
mhealth,APS,37,480,0.01,whole,0.25,False,0.21818181818181817,False
mhealth,APS,37,480,0.05,whole,0.33333333333333337,False,0.1890909090909091,False
mhealth,APS,37,480,0.05,even_to_odd,0.41666666666666663,False,0.34306569343065696,False
mhealth,APS,37,480,0.1,whole,0.5833333333333333,False,0.13090909090909092,False
mhealth,APS,37,480,0.2,whole,0.6666666666666667,False,0.13090909090909092,False
mhealth,APS,38,480,0.01,whole,0.25,False,0.21454545454545454,False
mhealth,APS,38,480,0.05,whole,0.29166666666666663,False,0.21454545454545454,False
mhealth,APS,38,480,0.05,even_to_odd,0.375,False,0.41605839416058393,False
mhealth,APS,38,480,0.1,whole,0.33333333333333337,False,0.21454545454545454,False
mhealth,APS,38,480,0.2,whole,0.5416666666666667,False,0.39636363636363636,False
mhealth,APS,39,480,0.01,whole,0.16666666666666663,False,0.2690909090909091,False
mhealth,APS,39,480,0.05,whole,0.41666666666666663,False,0.37454545454545457,False
mhealth,APS,39,480,0.05,even_to_odd,0.41666666666666663,False,0.3795620437956204,False
